# vendors.csv,system exclusive database,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
]Vendor,VendorTable,None,,,,,,,,
,MT-32,MT-32.One Note Jam,127,0,126,,,,,
,MT-32,MT-32.Water Bell,127,0,127,,,,,
,MT-32,MT-32.Jungle Tune,127,0,128,,,,,
,SC-88,SC-88.EG+Rhodes1,1,0,3,,,,,
,SC-88,SC-88.EG+Rhodes2,2,0,3,,,,,
,SC-88,SC-88.Hard Rhodes,25,0,5,,,,,
,SC-88,SC-88.MellowRhodes,26,0,5,,,,,
,SC-88,SC-88.Hard FM EP,24,0,6,,,,,
,SC-88,SC-88.Hard Vibe,1,0,12,,,,,
,SC-88,SC-88.Barafon,16,0,13,,,,,
,SC-88,SC-88.Barafon 2,17,0,13,,,,,
,SC-88,SC-88.Log Drum,24,0,13,,,,,
